,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,hausdorff_dimension,id_x,id_y,input_resistance_mohm,latency,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,scale_factor_x,scale_factor_y,scale_factor_z,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,soma_surface,specimen_id,superseded,tags,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,total_length,total_surface,total_volume,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,species,cre_line,dendrite_type,nm_id,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,structure_layer,reconstruction_type,gbar_Im_abs,gbar_Ih_abs,gbar_NaTs_abs,gbar_Nap_abs,gbar_K_P_abs,gbar_K_T_abs,gbar_SK_abs,gbar_Kv3_1_abs,gbar_Ca_HVA_abs,gbar_Ca_LVA_abs,gamma_CaDynamics_abs,decay_CaDynamics_abs,soma_g_pas_abs,axon_g_pas_abs,dend_g_pas_abs,apic_g_pas_abs,gbar_NaV_abs,gbar_Kd_abs,gbar_Kv2like_abs,gbar_Im_v2_abs
0,,0.85056077507601,0.527213091841004,75.1339285714286,0.9667088597157408,134.7,22.697498394674806,0.0833545918367347,1.1876799999999998,13.2952,1.025916,-56.375003814697294,-57.38542048136389,-57.4312507629395,False,False,False,,529951870,668702901.0,54.894264,0.0745600000000002,11.0,496.779715382321,592.979223018546,full,56.0,119.0,8496.0,7.0,63.0,135.52,631.358580696797,581.674568460602,1.18506,13.292893333333302,1.023716,47.875003814697294,47.4375025431315,48.075002288818396,529881372,78,60.7811734080315,0.11645156145095804,0.1144,0.1144,0.28,1.4882823680000001,,,,,,,444.24748416780403,529878215,False,3D Neuron Reconstruction morphology,20.4950337481237,290.0,306.791656494141,1989.99987792969,1.18448,13.292266666666698,1.023104,-39.0,-40.4166692097982,-49.0187522888184,529881376,9995.21860126649,16666.2137287986,2355.7650594674,1.18826,13.295679999999999,1.13478,-56.593753814697294,-57.739585876464794,-74.1437530517578,3.0296951840245403,3.0616457336323304,2.969820727143,-80.46875,-73.5533905029297,Homo Sapiens,Human,spiny,626170637.0,0.0017321139085187392,0.0010276165508097683,5.703488493920063,0.00019773170475112511,0.09574148060231936,0.022959893920016232,0.001075783194393165,0.481480636825199,0.0003147428274581127,0.005619633907249637,0.0020545078576459045,640.061788568835,0.0009312563369330623,0.00015061545665263874,9.302759938609222e-05,1.6708238065731365e-07,,,,,3,full,0.7694872461515118,0.45651606738643596,2533.7604144040056,0.08784181237589836,42.53291188808099,10.199875110726872,0.47791397761916726,213.89656158510678,0.1398237092581278,2.496508225239738,0.9127099469621779,284345.83928364987,0.4137082847978378,0.0669105376947197,0.04132727698544182,7.422592725577896e-05,,,,
19,,0.851035130560894,0.42475040669157,76.55,0.8845805013615871,8.65000000000005,15.2999991148706,0.03214586846543,1.17316,14.217820000000001,1.02518666666667,-49.750003814697294,-52.6875025431315,-50.13541857401529,False,False,False,,508279814,538906745.0,79.530488,0.0879000000000001,9.0,548.378464486535,646.9371495059929,full,50.0,106.0,7792.0,6.0,56.0,126.5846,715.481858897733,585.691251654314,1.17146,14.2160133333333,1.0237100000000001,37.90625,40.84375127156579,41.09895896911621,508279600,72,77.96879112720491,0.0782083496451378,0.1144,0.1144,0.28,1.150497536,,,,,,,590.200507189803,508279351,False,3D Neuron Reconstruction morphology,27.2643327261422,260.0,329.875,2650.0,1.17088,14.215413333333302,1.02312,-39.5,-37.5729179382324,-54.2343781789144,508279588,9206.32986693198,12207.613909026699,1505.2320499428101,1.17318,14.217933333333301,1.02520333333333,-49.812503814697294,-52.802085876464794,-50.17187690734861,2.50746225724583,2.51739783929708,2.6357978636217405,-88.5625,-80.5055160522461,Homo Sapiens,Human,spiny,538907329.0,0.0038486505439560095,4.459788612385523e-08,0.4224917149417167,0.005567585747679765,0.09787235066295008,0.004754696578877629,0.2517906706569387,0.431393916002482,0.0009624459548019137,0.008252699449883827,0.00012869070121100795,958.7407979176337,0.0008431495291274685,0.0009995672606730958,5.671443087874632e-06,2.6162826644700385e-05,,,,,3,full,2.2714755030391482,2.6321695009892436e-05,249.3548244420909,3.285991932103316,57.76431100113139,2.806224332387198,148.6069815273859,254.60890802326017,0.5680360906668637,4.870747401006443,0.0759533171253483,565849.3051945439,0.4976272797278755,0.5899451042195832,0.0033472885869617105,0.01544131355522106,,,,
25,,0.897780406358268,0.41403262248316797,42.2666666666667,0.8226135952569759,42.8673913043478,-111.63811541870001,0.325524472485627,1.1012950000000001,1.7756966666666698,1.0258825,-67.40625,-66.5937525431315,-67.80208460489911,False,False,False,,472449924,491119181.0,318.735008,0.0132300000000001,4.0,212.448082326036,249.521470887953,dendrite-only,16.0,35.0,1292.0,3.0,19.0,89.0718,284.641670178219,239.49260993659698,1.09906,1.77360333333333,1.02384166666667,39.375,49.8333346048991,50.838542302449504,464306425,45,358.35337638855003,0.12336219847202301,0.1144,0.1144,0.28,2.120566784,,,1.05412416666667,,,-68.546875,383.828301751364,464198958,False,3D Neuron Reconstruction morphology,23.5896544303652,20.0,18.7916663487752,200.0,1.09838,1.772935,1.02326666666667,-48.09375,-44.5416692097982,-46.088542302449504,464306389,1543.94101002294,2008.83802537724,237.466517041093,1.10159,1.7759016666666698,1.05412416666667,-67.65625,-66.7916692097982,-68.546875,2.35001740631423,2.14212110641046,2.26252501083553,-100.1875,-66.2410736083984,Mus musculus,Sst-IRES-Cre,aspiny,472450023.0,0.007334181585201427,3.845991658479875e-09,0.2629189924848729,0.0019604145203558133,0.0005129094747188255,3.816968896825333e-05,0.000114756180460307,0.041603352623656525,5.857401378883123e-05,0.009555960646307057,0.02373293980924476,210.69882206178505,0.0005897852392312536,0.0005696628870857697,0.00012046511053782883,,,,,,5,dendrite-only,2.8150664625839905,1.4762004468242423e-06,100.91575038364839,0.7524625760768866,0.19686917263351097,0.01465060689506245,0.044046669861552694,15.968544184701237,0.02248236423932807,3.6678481464749044,9.109373982549757,80872.17105298779,0.22637626677215403,0.21865273852091002,0.046237918798025184,,,,,
44,,0.925519767076544,0.5943929107476049,87.75,0.998857767183155,39.338333333333296,-41.1050013471304,0.36433333333333395,1.11144,3.73492,1.025208,-53.03125,-53.328128814697294,-53.2125015258789,False,False,False,,569822416,596792557.0,261.532848,0.0325600000000001,10.0,892.967687031782,923.825400897587,full,16.0,37.0,3177.0,5.0,21.0,129.8004,1054.9526736400098,434.008055202128,1.1097,3.73302,1.02358,48.531253814697294,46.15625,47.256253051757795,569820514,34,233.593717217445,0.0831966027617455,0.1144,0.1144,0.28,4.393674752,,,,,,,406.241976873944,569820026,False,3D Neuron Reconstruction morphology,24.4952829459348,50.0,67.8125,460.0,1.1092600000000001,3.73256,1.023164,-41.0312538146973,-43.437503814697294,-46.8375007629395,569820519,3669.80186601183,6851.253768313721,1080.0376802726598,1.11144,3.73518,1.1570200000000002,-53.03125,-53.484378814697294,-72.59375,3.77185003189687,3.82704828589558,3.6187442746499,-97.96875762939449,-71.82261657714841,Homo Sapiens,Human,spiny,626170475.0,5.526401577526928e-06,1.867064515595788e-07,1.5314987111926583,0.0010227209691989149,2.7904500481679144e-06,2.722387855298746e-06,0.0013226695043150028,0.16795980572513036,0.0004702239797736589,0.009943622094592965,0.0002902188771008474,807.6103599614082,0.00012706919630542146,0.0003017656921670395,1.2152056151171295e-05,1.0003291223294054e-07,,,,,5,full,0.002245056301853822,7.584799797668256e-05,622.159064014803,0.4154721883178032,0.0011335979439357259,0.0011059482241541792,0.5373238741838063,68.23232351314053,0.19102471911678465,4.039516696994873,0.11789909035958443,328085.2291746,0.05162084150689768,0.12258989133867217,0.0049366753139349975,4.06375680179675e-05,,,,
64,,0.919327857846593,0.279352693868822,41.273972602739704,0.861676895754546,97.0,23.797500428579504,0.12464030169113001,1.156475,6.00374166666667,1.0255275,-42.0000038146973,-42.3541679382324,-46.33593940734861,False,False,False,,478890939,491771435.0,106.45978400000001,0.06111000000000001,11.0,553.11001406213,599.0938665487099,dendrite-only,37.0,85.0,3438.0,11.0,48.0,109.17200000000001,659.1035816821769,289.640508745304,1.1535600000000001,6.00137166666667,1.0235425,32.53125,33.28125,27.156250953674306,478889888,57,113.28125,0.0900440961122513,0.1144,0.1144,0.28,1.5778554880000002,1.21095,6.046945,1.2625375,-52.5625,-53.70833714803061,-72.7656288146973,434.308087515996,478888052,False,3D Neuron Reconstruction morphology,19.3525924192435,110.0,124.500010172526,1280.0,1.153065,6.00088333333333,1.0231125,-34.6875,-34.5208346048991,-42.6562519073486,478889876,4095.39864990073,3591.49569887271,267.298722803595,1.21095,6.046945,1.2625375,-52.5625,-53.70833714803061,-72.7656288146973,3.1196650563734702,3.08353266205805,3.0684487083886003,-85.96875762939449,-72.3885116577148,Mus musculus,Scnn1a-Tg2-Cre,spiny,479694721.0,0.0006787097588489684,5.704130364651405e-09,0.7588364440107184,1.5296301018180586e-08,0.003384356563707603,9.828563629632472e-07,0.00028122334046569236,0.1456753383565461,2.88760949448833e-05,0.004564130917762295,0.023692887721578737,371.9034243940872,0.000274964054534532,0.0001866746977381568,1.1183544145324285e-05,2.8176719883664563e-06,,,,,5,dendrite-only,0.2947691373441383,2.4773499496136726e-06,329.56880473573426,6.643307241274993e-06,1.4698534266560572,0.0004268624673014955,0.12213757116251465,63.26797759987716,0.012541121570442588,1.9822389700659702,10.290012754090085,161520.66498924585,0.11941911266053662,0.08107433096228552,0.004857103669406505,0.0012237377325148293,,,,
66,,0.908432763382239,0.421411669680843,44.3222222222222,0.8357625735491049,101.536111111111,20.79187343129169,0.136552220174497,1.275455,3.40693833333333,1.025401,-44.96875,-45.6770846048991,-48.7375015258789,False,False,False,,487666300,496085294.0,149.066784,0.054529999999999995,16.0,701.8394545429111,861.830930930335,dendrite-only,45.0,99.0,4217.0,9.0,54.0,141.1948,731.072492605692,449.195952702673,1.2736049999999999,3.40511666666667,1.023547,30.8125019073486,33.3437506357829,23.762501525878896,487664783,38,118.08037757873501,0.0944587662816048,0.1144,0.1144,0.28,1.89107648,1.443175,3.4409099999999997,1.682607,-56.343753814697294,-48.7604192097982,-68.59375305175779,685.118687680477,487664663,False,3D Neuron Reconstruction morphology,16.177671832898902,50.0,59.5833333333333,630.0,1.2731299999999999,3.404635,1.0231139999999999,-40.8125038146973,-42.15625127156579,-47.4000022888184,487664787,5095.14257268315,6754.559383461589,837.542210455464,1.443175,3.4409099999999997,1.682607,-56.343753814697294,-48.7604192097982,-68.5937545776367,2.9693590103967704,3.04381741532256,3.01403181074077,-80.6250076293945,-68.41317749023439,Mus musculus,Rbp4-Cre_KL100,spiny,488462820.0,0.0012383893612445851,0.0006338765849686778,0.5004533617378729,1.758571027409006e-05,0.0006796868759747499,1.559856737237686e-05,0.0005304617338248371,0.14322461216868007,0.0001483591621125165,0.009600187388548958,0.004787288788001426,365.1020624075615,1.4062989960779354e-05,0.00013123040228366434,1.0064836074181783e-07,7.215275674504716e-05,,,,,5,dendrite-only,0.8484436940133544,0.43428069404512293,342.8699504391345,0.012048298744913664,0.46566618050146374,0.01068687000785834,0.36342924694278295,98.12585833255137,0.10164363445190246,6.577267785129328,3.2798610119829985,250138.24586610417,0.009634817226792875,0.08990840099636518,6.895607282862548e-05,0.049433202013695395,,,,
74,,0.89779351033238,0.247356279034576,47.127272727272704,0.779837818692819,80.4504545454545,13.153749790773,0.22214467925846398,1.126865,5.3066366666666696,1.02546375,-43.656253814697294,-45.4062525431315,-46.8437528610229,False,False,False,,478510433,492413653.0,132.65108,0.0490000000000002,9.0,374.667522229403,419.71131080328087,dendrite-only,28.0,62.0,2813.0,6.0,34.0,124.2169,469.187241793325,291.532147618944,1.124815,5.30440833333333,1.0235475,26.1875019073486,34.5833333333333,25.0078129768372,478508349,36,197.812542319298,0.024099737405777002,0.1144,0.1144,0.28,1.4758289919999998,1.137835,5.35615166666667,1.6290325,-44.28125,-52.5729179382324,-82.28906440734859,96.13458824214571,478499902,False,3D Neuron Reconstruction morphology,22.8412526885359,90.0,107.083333333333,920.0,1.124285,5.30390333333333,1.02311625,-39.1875038146973,-36.3541666666667,-34.125001430511496,478508353,3195.90324692305,2485.65221544067,174.755651878946,1.137835,5.35615166666667,1.6290325,-44.28125,-52.5729179382324,-82.28906440734859,3.2999292533846,3.3662233420888703,2.8606385868608397,-100.46875762939501,-81.92041015625,Mus musculus,Rorb-IRES2-Cre,spiny,479427369.0,7.827677545926837e-05,5.137173443577833e-10,0.5168654932288607,0.0004289742425882752,0.017671221848675894,2.230488503196515e-05,0.0015424324222825345,0.19573205552973671,0.0005528706698531206,0.005025574451200785,0.0006508077628260251,604.0577574841373,0.00019902490039744336,4.512350891808416e-05,6.3592870620917685e-06,2.8151568481064064e-05,,,,,4,dendrite-only,0.0075251055776996605,4.9386005372684076e-08,49.688651368130074,0.041239262177710165,1.698815636158066,0.002144270938336369,0.14828110580746687,18.816620564140038,0.05314999419748903,0.4831315305464348,0.06256513630407194,58070.843790211446,0.01913317684964228,0.004337929949880811,0.0006113474432277966,0.002706339444297661,,,,
78,,0.867569581226749,0.41384194959490395,66.15625,0.784639860383783,,-40.6575016709265,0.129997309118334,1.035295,8.761275,1.0255125,-51.968753814697294,-46.2916679382324,-52.93229357401529,False,False,False,,478587939,492413664.0,281.62438399999996,0.005220000000000001,10.0,571.166055955542,668.906468364582,dendrite-only,16.0,42.0,2446.0,10.0,26.0,70.8467,682.624288997884,244.257428058633,1.033185,8.759253333333339,1.02347083333333,31.0,26.9687519073486,34.270833969116204,478586895,43,100.000038743019,0.0120830200612545,0.1144,0.1144,0.28,1.2846984959999999,,8.775585000000001,,,-47.89583714803061,,210.39101894073502,478586295,False,3D Neuron Reconstruction morphology,8.48381375018388,140.0,193.41666158040402,260.0,1.032705,8.75859666666667,1.02302833333333,-42.65625,-34.2604179382324,-46.442710240682004,478586881,2759.1990562606798,3589.99622342502,420.022012301537,1.0356049999999999,8.775585000000001,1.049555,-52.25,-47.89583714803061,-59.432294845581104,2.7462963643666805,1.9913458199981,3.00036067777369,-68.9375,-57.3023872375488,Mus musculus,Rorb-IRES2-Cre,spiny,479427516.0,2.951263532001338e-06,0.004048145710083412,0.9336189900529356,8.247407217387052e-13,6.488737355012789e-07,3.568552557314201e-05,0.06397382809151697,0.21626953196923748,0.0009135494630006473,0.000886059597629294,0.0001211832655136874,993.4509447563166,0.000559568331783151,0.0005414292450440817,0.00047370210704760076,3.0833208475328043e-07,,,,,5,dendrite-only,0.000620919341660394,0.8516935007650143,196.42505061965707,1.7351804080852342e-10,0.00013651720637599505,0.007507914086769004,13.459518877713673,45.50116719684374,0.1922026023734675,0.18641898158744483,0.025495870709990327,209013.1565349173,0.11772815149082441,0.11391185054913724,0.09966266897611786,6.487030148336374e-05,,,,
107,,0.845900877489379,0.8968018966485609,99.73809523809521,0.930432608365231,368.66,-88.7399945193046,0.0785947712418301,1.2780200000000002,4.22080666666667,1.025868,-53.1875,-56.083335876464794,-50.881251525878895,False,False,False,,527947716,601947670.0,109.75153600000002,0.05206,8.0,1042.45317093294,1201.08680055038,full,21.0,48.0,4260.0,6.0,27.0,134.9334,1307.90464773536,519.473713065535,1.27558,4.21818666666667,1.023716,46.062503814697294,43.7708346048991,40.9937515258789,527944970,35,136.718824505806,0.17973266541957894,0.1144,0.1144,0.28,1.1085027840000001,,4.22167333333333,,,-56.77083714803061,,631.7110796621749,527942865,False,3D Neuron Reconstruction morphology,26.8857603438525,70.0,79.9583333333333,820.0,1.27506,4.21761333333333,1.023192,-39.9062538146973,-41.25000127156579,-44.556253814697286,527944974,5411.47931733359,15266.5960421578,3602.7334653356797,1.39012,4.22167333333333,1.026132,-59.250003814697294,-56.77083714803061,-51.0250015258789,3.9061845803226696,3.81411698303088,3.75634592212295,-82.5937576293945,-67.7251434326172,Homo Sapiens,Human,spiny,626170718.0,0.00010964347278207832,0.001327233956417784,2.633443365054712,0.0010923659985307534,6.695315200033748e-06,0.0004382802210011194,0.17328111061336915,0.21549739659276912,0.0009987088423085485,0.007200051230870578,0.000115202341859999,403.2469552729104,4.566053436002718e-05,7.283679300296975e-07,1.467075981716946e-05,1.787335598599041e-05,,,,,5,full,0.06926299656907699,0.8384283955729784,1663.5753513679033,0.690059704318112,0.004229504793691889,0.2768664716031938,109.46359747063218,136.1320930660061,0.630895441042894,4.5483521366762245,0.07277459575599093,254735.56948593498,0.028844265458524608,0.0004601180914703637,0.009267681523568572,0.0112907970070964,,,,
109,,0.789621077612263,0.0976823655718221,128.0,0.9660919158277841,26.884444444444398,32.9899996209804,0.767679585416265,1.06708,6.4489933333333305,1.023872,-65.4062576293945,-61.677085876464794,-64.3187515258789,False,False,False,,571727301,587405674.0,183.75875200000002,0.020640000000000002,4.0,350.406255399429,449.7182002502031,full,13.0,33.0,3465.0,7.0,20.0,144.2,594.414267960115,425.39195878373,1.0664799999999999,6.4483133333333305,1.0233,20.78125,23.8645833333333,29.0437519073486,571717423,47,147.812575101852,0.145787298679352,0.1144,0.1144,0.28,1.5986504959999999,,,,,,,15.1591457025088,571709783,False,3D Neuron Reconstruction morphology,9.942465948140331,130.0,135.708333333333,620.0,1.0662200000000002,6.44801333333333,1.023032,-39.0312538146973,-37.0104179382324,-45.675003814697284,571717431,4083.6846146029493,1255.6783161041901,29.3781490283833,1.06712,6.44906,1.24932,-65.53125,-61.7812525431315,-77.19375152587891,1.28530714785161,1.31785523319849,1.36533423425556,-91.65625,-75.8753662109375,Homo Sapiens,Human,aspiny,626170430.0,,0.00023459075837347422,,,,0.04294487957970819,0.00022363708958134224,0.7512091262121829,3.828792350372451e-06,0.0025373289805549226,0.014614207304595504,795.0875718436583,7.632841365826035e-06,8.918505999612433e-05,1.0016061959576928e-07,,0.07996052701699619,2.295786339903317e-05,0.11466991295632754,4.970771481427328e-07,3,full,,0.003556195486645532,,,,0.6510076867254914,0.0033901472254485795,11.387688597304804,5.8041221103947104e-05,0.03846373971143019,0.22153889785703165,12052.84834783195,0.00011570735438869314,0.0013519693189682376,1.5183494261058246e-06,,1.2121332795000366,0.00034802159628423776,1.7382979181989708,7.535264914083237e-06
117,,0.86450925005099,0.41087693637768,52.5333333333333,0.837388514983321,109.455,7.462500235810848,0.159665089188205,1.202305,3.22784666666667,1.0252059999999998,-46.062503814697294,-47.2291692097982,-49.1562522888184,False,False,False,,485856550,510989433.0,182.719216,0.0643450000000001,7.0,496.142598401155,554.9985727400241,dendrite-only,30.0,68.0,3250.0,8.0,38.0,77.56,574.23604394341,345.069611455607,1.1996850000000001,3.22557333333333,1.023385,46.03125,47.7812525431315,45.0875022888184,485843911,46,233.281329274178,0.118305526673794,0.1144,0.1144,0.28,3.159602944,1.275735,3.27282166666667,1.568509,-55.687503814697294,-56.14583714803061,-74.4437561035156,179.665395158426,485837504,False,3D Neuron Reconstruction morphology,30.4840765486026,50.0,55.125,800.0,1.199225,3.22509666666667,1.022991,-37.40625,-37.7916679382324,-44.7500022888184,485843915,3658.13026005404,4729.368560755661,568.8596451873169,1.275735,3.27282166666667,1.568509,-55.687503814697294,-56.14583714803061,-74.4437561035156,3.6236248732957694,3.51354013501952,3.95198373464481,-94.28125762939449,-73.0314865112305,Mus musculus,Rorb-IRES2-Cre,spiny,486508702.0,,0.0032917981712849986,,,,7.344424539301729e-05,0.8472109569119772,0.22482253559951032,0.0006917021694062324,0.0019198628828305867,6.722198448587157e-07,249.71169354787529,0.0008388214633284235,0.00035675387073443596,1.0087207034631726e-07,1.0002828222098514e-07,0.6442876954907495,3.682187340722548e-06,5.474059342966409e-09,0.016278829447833026,5,dendrite-only,,0.5914222192257034,,,,0.01319538937064886,152.2144913561386,40.39282969900532,0.12427494359831127,0.34493292349375226,0.00012077464405987698,44864.55009695879,0.15070718967627036,0.06409632515980047,1.8123220379219636e-05,1.7971620852251853e-05,115.75620340605715,0.0006615616436182704,9.834990349747336e-07,2.9247423254615423
