,cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,cre_line,dendrite_type
0,False,0.0017321139085187392,0.0010276165508097683,5.703488493920063,0.00019773170475112511,0.09574148060231936,0.022959893920016232,0.001075783194393165,0.481480636825199,0.0003147428274581127,0.005619633907249637,0.0020545078576459045,640.061788568835,0.0009312563369330623,0.00015061545665263874,9.302759938609222e-05,1.6708238065731365e-07,,,,,Human,spiny
1,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
3,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
4,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
5,False,,,,,,,,,,,,,,,,,,,,,Nkx2-1-CreERT2,aspiny
6,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
7,False,,,,,,,,,,,,,,,,,,,,,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny
8,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
9,False,,,,,,,,,,,,,,,,,,,,,Vip-IRES-Cre,aspiny
10,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
11,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
12,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
13,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
14,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
15,False,,,,,,,,,,,,,,,,,,,,,Ntsr1-Cre_GN220,spiny
16,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
17,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
18,False,,,,,,,,,,,,,,,,,,,,,Chat-IRES-Cre-neo,aspiny
19,False,0.0038486505439560095,4.459788612385523e-08,0.4224917149417167,0.005567585747679765,0.09787235066295008,0.004754696578877629,0.2517906706569387,0.431393916002482,0.0009624459548019137,0.008252699449883827,0.00012869070121100795,958.7407979176337,0.0008431495291274685,0.0009995672606730958,5.671443087874632e-06,2.6162826644700385e-05,,,,,Human,spiny
20,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
21,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
22,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
23,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
24,False,,,,,,,,,,,,,,,,,,,,,Gad2-IRES-Cre,aspiny
25,Sst-IRES-Cre__L5__inh,0.007334181585201427,3.845991658479875e-09,0.2629189924848729,0.0019604145203558133,0.0005129094747188255,3.816968896825333e-05,0.000114756180460307,0.041603352623656525,5.857401378883123e-05,0.009555960646307057,0.02373293980924476,210.69882206178505,0.0005897852392312536,0.0005696628870857697,0.00012046511053782883,,,,,,Sst-IRES-Cre,aspiny
