cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2
Cux2-CreERT2__L2/3__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Cux2-CreERT2__L4__exc,6,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1
Cux2-CreERT2__L5__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
False,34,47,34,34,34,47,47,47,47,47,47,47,47,47,47,35,13,13,13,13
Gad2-IRES-Cre__L5__inh,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
Htr3a-Cre_NO152__L1__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Htr3a-Cre_NO152__L2/3__inh,4,9,4,4,4,9,9,9,9,9,9,9,9,9,9,0,5,5,5,5
Htr3a-Cre_NO152__L4__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Htr3a-Cre_NO152__L5__inh,1,4,1,1,1,4,4,4,4,4,4,4,4,4,4,0,3,3,3,3
Htr3a-Cre_NO152__L6__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Nr5a1-Cre__L2/3__exc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0
Nr5a1-Cre__L4__exc,9,12,9,9,9,12,12,12,12,12,12,12,12,12,12,12,3,3,3,3
Nr5a1-Cre__L4__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Ntsr1-Cre_GN220__L6__exc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
Ntsr1-Cre_GN220__L6__inh,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
Pvalb-IRES-Cre__L2/3__inh,0,5,0,0,0,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5
Pvalb-IRES-Cre__L4__inh,0,6,0,0,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6
Pvalb-IRES-Cre__L5__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Pvalb-IRES-Cre__L5__inh,0,13,0,0,0,13,13,13,13,13,13,13,13,13,13,0,13,13,13,13
Pvalb-IRES-Cre__L6__inh,0,4,0,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4
Rbp4-Cre_KL100__L4__exc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
Rbp4-Cre_KL100__L5__exc,6,14,6,6,6,14,14,14,14,14,14,14,14,14,14,14,8,8,8,8
Rbp4-Cre_KL100__L6__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Rorb-IRES2-Cre__L2/3__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Rorb-IRES2-Cre__L4__exc,11,15,11,11,11,15,15,15,15,15,15,15,15,15,15,15,4,4,4,4
Rorb-IRES2-Cre__L5__exc,13,19,13,13,13,19,19,19,19,19,19,19,19,19,19,19,6,6,6,6
Rorb-IRES2-Cre__L5__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Rorb-IRES2-Cre__L6__exc,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rorb-IRES2-Cre__L6__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Scnn1a-Tg2-Cre__L4__exc,7,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1
Scnn1a-Tg2-Cre__L4__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Scnn1a-Tg2-Cre__L5__exc,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
Scnn1a-Tg2-Cre__L5__inh,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
Scnn1a-Tg3-Cre__L4__exc,9,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1
Scnn1a-Tg3-Cre__L5__exc,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1
Scnn1a-Tg3-Cre__L6__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Slc17a6-IRES-Cre__L2/3__exc,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
Slc17a6-IRES-Cre__L4__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Sst-IRES-Cre__L2/3__inh,0,6,0,0,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6
Sst-IRES-Cre__L4__exc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Sst-IRES-Cre__L4__inh,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Sst-IRES-Cre__L5__inh,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,0,7,7,7,7
Sst-IRES-Cre__L6__inh,0,4,0,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4
