,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2
Gad2-IRES-Cre__L5__inh,,0.00048797274600827293,,,,0.03201234155516572,0.00012531786396920502,1.81840633909935,0.00047959889887356415,0.007290050863414839,0.008271019532088067,313.2678292845285,0.0002132047322262577,7.41764130958898e-05,1.941620303017367e-06,,0.09943247517735587,1.9580776381997238e-08,0.23463568646126745,0.008393491759467945
Htr3a-Cre_NO152__L2/3__inh,0.0010800252908518802,0.0007628850147508504,0.4520686592385662,0.0015643264757692842,0.06017357932855465,0.02788123150678832,0.06735612216108684,0.23540194926402397,0.0003621798696142242,0.00205858980950564,0.013283530779214906,327.15260885425164,0.00032734517722822097,0.0005779021943581883,0.00016582847813359478,,0.0527165011055879,2.179481439265649e-05,0.03007867792187047,0.00256603394484057
Htr3a-Cre_NO152__L4__inh,,0.0007483146089529598,,,,6.209995747540423e-07,0.02123536247580915,0.14292671428791784,0.0002946787515310206,0.0032854032146529648,0.0001916236273002056,533.545740625707,0.0007969410785381972,0.000590052348570286,3.549249628963937e-07,,0.05610174200737299,0.00017519914026510974,3.9813942512016e-05,0.0025519715891636685
Htr3a-Cre_NO152__L5__inh,0.009812019912446436,0.0001853270129447005,0.6705282223106995,6.045609537430607e-08,0.0027305125012029308,0.03955526602351368,0.0006433537703473113,0.6386037876519687,0.0006185810914255361,0.0033958341855034623,0.01848688389734736,777.7843613193463,0.000278400432285248,0.00019456624396635796,1.8676274243754227e-05,,0.07613491152835468,8.568232027812869e-06,0.01674844972414942,0.006407113770887742
Htr3a-Cre_NO152__L5-L6__exc,0.0033831978607412397,0.0006793626865748116,0.4775610030110376,0.00019884221313326567,9.098079067904052e-09,8.187409386971051e-08,0.001801772887893584,0.3605597452034566,9.035676469276726e-05,0.0016698059966334738,0.006457020008995684,477.53128271043886,0.00029758759401981504,4.585195112978317e-06,1.1104258099230587e-07,9.360292283046481e-07,,,,
Nr5a1-Cre__L4__exc,0.0016017382361896654,0.00020145140798572423,0.5077996366552143,0.000877061231380888,0.04536617285579488,0.01040859427932935,0.017504595203066083,0.12618227941410484,0.0004803084105836085,0.004071604920975814,0.0043916894949817065,668.4052895409725,0.00018326250425844398,0.0006606964141985874,4.886277234003992e-05,4.845006006928817e-05,0.1370074550575104,0.0012700046461122626,0.037326361209041516,0.006659116134159304
Ntsr1-Cre_GN220__L6__exc,0.0007340987535665932,0.00013584814003046898,0.7683000284163364,0.00010209001709122959,0.03485229373033462,0.010717810157717255,0.044393745179989084,0.14960081771511394,0.0005677767469627532,0.003237572030718277,0.0007617445155652168,515.2381478090429,0.000587915468259596,0.00034269212632034813,3.7336523192502915e-05,1.998936394599915e-05,,,,
Pvalb-IRES-Cre__L2/3__inh,,0.00038266306660658433,,,,0.08797051969881978,0.014407632882386943,0.6933117129540817,0.0003636396106441921,0.007190846045829238,0.016836121612418244,210.82226672345834,0.00037487106862798446,0.0006095664367756957,1.6102611492216996e-05,,0.05462156482320157,1.0666818870223262e-06,0.07686601273333668,0.0028771005918710323
Pvalb-IRES-Cre__L4__inh,,0.0013454803489209046,,,,0.04826385583416082,0.01985376891178256,1.1212459226154838,0.0003980945352760466,0.002339571788321427,0.009650023129978584,208.96757649938283,0.00025874890427147193,7.901302571049539e-05,6.338483988876474e-05,,0.06869453713985198,0.00017819117065524554,0.03315579453917829,0.003097662531359803
Pvalb-IRES-Cre__L5__inh,,0.00048122315800768476,,,,0.03125011421627187,0.02428651832776514,1.266771794675856,0.0005746665747109557,0.0042337579039658894,0.014759628290004715,394.6001368416995,0.00020322013291340472,0.00045609236317567883,6.273015693858756e-05,,0.05417041480081168,7.419429775838344e-05,0.09807557347654416,0.002606448466970811
Pvalb-IRES-Cre__L6__inh,,0.0006378304875530884,,,,0.043908567655798564,5.2312907915248384e-05,1.2507790005131003,0.0005923494453624513,0.008152837463672211,0.013223974123011812,533.3874175901655,0.00018374706336873458,0.0002576433322527859,1.1311279646537561e-07,,0.09583527357177224,0.0008221329885868383,0.011585590752975588,0.0015766556622936036
Rbp4-Cre_KL100__L4__exc,0.009215765253475712,0.0001660370905936089,0.7846561336425013,0.001693505739934232,0.019061372804030124,0.0008261096000234551,0.03374687817594399,0.1906759220690016,0.0006130620406254003,0.007279007531973657,0.009552942549998365,478.51779455845343,0.0006374927296901364,0.0003994281466485362,1.6854081898138185e-05,0.000219145094725542,,,,
Rbp4-Cre_KL100__L5__exc,0.0005337662464718619,0.0028947145873408357,0.5444057391699549,0.00044406206810253203,0.01809966944732803,0.033590725870507834,0.027596077134987525,0.12429393256523773,0.0002973421478122037,0.005176534330529512,0.010327427964591851,534.3951113715938,0.0003007504356919228,0.00040313032691231755,0.00010720199504024506,0.00016424037056666003,0.3180273625253072,0.004417845701861006,0.020413014513055328,0.009973798807306129
Scnn1a-Tg2-Cre__L4__exc,0.004153764784106535,0.0011612612686543902,0.5163431493430951,0.0005759648657632727,0.043657164321637694,0.009921018087085226,0.07787615402200404,0.11857144286778047,0.0006900104851509763,0.003165692576826497,0.00413550595308476,635.2326773540502,0.00020780779983640518,0.0003196863953804722,4.285649245531815e-05,0.00025944653643989493,0.3710621046701956,2.5399113576241028e-08,3.92187830063756e-05,0.01099683827263185
Scnn1a-Tg3-Cre__L2/3-L4__exc,0.0007409509318506277,0.0008317588835398496,1.289620199349935,0.00040422101429340095,0.04235939704911215,0.015906238308940338,0.009372560418279916,0.1829392893385339,0.0005916004878861722,0.0047943150381129,0.003968856961862528,623.6041660946657,0.0003424224426504197,0.00045412147261720897,5.49523139313971e-05,0.00016313876635200687,0.3861633048321854,0.0017863017279937067,1.4409255490793265e-05,0.015946303320459158
Sst-IRES-Cre__L1-L2/3__inh,,0.0013609330956307884,,,,0.02798489515225032,0.0021557500409750273,0.2617966095664396,0.0005813017604017367,0.0042362340987699715,0.015239393125412759,366.6528908315188,0.0004972206620083129,0.0006749104903715102,0.00014404548411203354,,0.06612631566907677,4.5721632723235753e-07,0.04120451313082693,0.0016115557828922302
Sst-IRES-Cre__L4__inh,,3.361841126085785e-06,,,,3.932783346283567e-07,0.0043472246914006895,1.1081323613658394,0.0009832329467932485,9.255704341674942e-10,0.03841023759825348,71.6259347043354,0.00020789643554240084,0.00016431423876811396,1.0001613056143422e-07,,0.02687615924790428,8.914004638819276e-11,0.11990655866204958,0.0003385602610360292
Sst-IRES-Cre__L5__inh,0.0036671201968851725,0.0007823846017461045,0.179579815430923,0.0025054371417893113,0.0002573837373307837,0.017352445053898533,0.0019487705513665065,0.5152661461738804,0.0004061996276651721,0.004977442731171221,0.016466398500115446,589.8060323767315,0.00029939520427817184,0.00029342616978121774,3.6337053520969606e-05,,0.06787021565179467,0.00044202783678185664,0.036184446858621856,0.003957837804647014
Sst-IRES-Cre__L6__inh,,0.0006015511898294845,,,,0.04935652490229299,0.000852088698366762,0.6618929837181058,0.0005783898303048909,0.003076811445846684,0.019436026781609727,615.4820990524172,5.8271695844908e-05,0.0005088639153492361,8.793825429380509e-05,,0.09511270426273072,3.608968449744211e-07,0.02357320207190353,0.0023839189457393033
