,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2
False,0.0011501468627131038,0.0011315036594818583,1.7718208416481065,0.0008032138687243097,0.0258802290794379,0.006124696897844885,0.05393516124219089,0.29339954106846566,0.00046529859163177585,0.005833997433877554,0.006807066189391923,580.3918872361859,0.00038468755420809504,0.0004058007961553717,4.178752473524566e-05,3.460246215900026e-05,0.15413896089851625,0.002638066581192634,0.04625829334354047,0.001073016182020912
Sst-IRES-Cre__L5__inh,0.003667120196885173,0.0007823846017461045,0.179579815430923,0.0025054371417893113,0.0002573837373307837,0.01735244505389853,0.0019487705513665065,0.5152661461738804,0.0004061996276651721,0.004977442731171221,0.016466398500115446,589.8060323767315,0.00029939520427817184,0.00029342616978121774,3.63370535209696e-05,,0.06787021565179467,0.0004420278367818567,0.036184446858621856,0.003957837804647013
Scnn1a-Tg2-Cre__L5__exc,0.0020855590469877816,2.7118926404814842e-06,0.7928382707449015,0.00016091144523233856,0.002805286410990532,4.140271186244865e-05,0.0003204150457848351,0.195919473315872,8.794432341936812e-05,0.0028802078202724425,0.016222679724617516,541.6558269147899,0.00013996004939993413,0.00015680703223249122,5.823847432798085e-06,0.00015821002948212317,,,,
Rbp4-Cre_KL100__L5__exc,0.0005337662464718619,0.0028947145873408353,0.5444057391699549,0.000444062068102532,0.01809966944732803,0.03359072587050783,0.027596077134987525,0.12429393256523771,0.0002973421478122037,0.005176534330529512,0.010327427964591851,534.3951113715938,0.0003007504356919228,0.00040313032691231745,0.00010720199504024506,0.00016424037056666003,0.3180273625253072,0.004417845701861006,0.020413014513055328,0.009973798807306127
Rorb-IRES2-Cre__L4__exc,0.0006503370175318681,0.0023511225467461507,0.8681305820767904,0.00039486597790075847,0.024310806132369574,0.0057634845806102,0.03074652091509543,0.16165059478465435,0.000516295697662231,0.0027869589529050626,0.0026520751344671625,688.3966664183712,0.0002957879801053007,0.0003443615718420953,9.637341449309396e-05,9.277747609538226e-05,0.2651787218080917,0.0001697097445577486,0.04897529596137687,0.003379745556318033
Rorb-IRES2-Cre__L5__exc,0.001268233974824297,0.0011850709722179443,0.9503353876981602,0.00048511339289158034,0.012017671516635763,0.006914745757186559,0.11395024831416761,0.21406827912358853,0.0005193590854618461,0.002010987355694837,0.004679888310119147,519.6448738830662,0.00028406120861228375,0.0003956244986593699,0.00012428893910701274,0.00010690220674772231,0.23662939835614058,9.866088018118073e-06,0.040901634349407516,0.006058185959139816
Pvalb-IRES-Cre__L5__exc,0.011123285479678427,0.0002785623199811474,0.5337008654094436,0.0013728497693198062,0.0001750737792792778,1.7648240888124e-07,0.00012684673693025416,0.3449768229749843,0.000247612705994981,0.009997097769214524,0.010170508727598029,969.6638127770574,0.0008607453410622392,0.0009025724851944797,2.888286035523468e-06,4.4469847329206715e-06,,,,
Scnn1a-Tg3-Cre__L4__exc,0.0007409509318506276,0.0008317588835398496,1.289620199349935,0.00040422101429340095,0.042359397049112145,0.015906238308940335,0.009372560418279916,0.1829392893385339,0.0005916004878861721,0.0047943150381128995,0.003968856961862527,623.6041660946657,0.0003424224426504197,0.000454121472617209,5.49523139313971e-05,0.00016313876635200687,0.3861633048321854,0.0017863017279937067,1.4409255490793265e-05,0.015946303320459158
Sst-IRES-Cre__L4__inh,,3.361841126085785e-06,,,,3.932783346283567e-07,0.0043472246914006895,1.1081323613658394,0.0009832329467932485,9.255704341674942e-10,0.03841023759825348,71.6259347043354,0.00020789643554240084,0.00016431423876811396,1.0001613056143422e-07,,0.02687615924790428,8.914004638819276e-11,0.11990655866204958,0.0003385602610360292
Nr5a1-Cre__L4__exc,0.0016017382361896654,0.00020145140798572423,0.5077996366552143,0.000877061231380888,0.04536617285579488,0.01040859427932935,0.01750459520306608,0.12618227941410484,0.00048030841058360844,0.004071604920975814,0.0043916894949817065,668.4052895409725,0.000183262504258444,0.0006606964141985874,4.886277234003992e-05,4.845006006928817e-05,0.13700745505751039,0.0012700046461122624,0.037326361209041516,0.006659116134159304
